City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
648,Maymyo,MM,67.59,overcast clouds,22.03,96.47,Tiger Hotel
649,Sarkand,KZ,63.37,scattered clouds,45.41,79.92,Гостиница Сарканд
651,Pabrade,LT,55.83,light rain,55.0,25.78,Pavovere 2
652,Lufilufi,WS,71.38,light rain,-13.87,-171.6,Leuaina Beach Resort and Spa
654,Lexington,US,73.29,clear sky,37.99,-84.48,DoubleTree Suites by Hilton Hotel Lexington
656,Along,IN,74.32,broken clouds,28.17,94.77,Hotel West
659,San Luis,AR,70.34,clear sky,-33.3,-66.34,Huarpes Hotel
660,Wajima,JP,73.09,overcast clouds,37.4,136.9,Wajiima Onsen Yashio
661,Borsele,NL,73.11,clear sky,51.44,3.81,De Vaete
666,Huangchuan,CN,74.55,light rain,32.13,115.04,Guangzhou International Hotel
670,Urumqi,CN,74.35,clear sky,43.8,87.6,Hua Ling Grand Hotel Urumqi
671,Zhanakorgan,KZ,73.62,clear sky,43.91,67.25,"""Ақпалас"" қонақ үйі"
676,Skalat,UA,68.56,broken clouds,49.43,25.98,Perkhalyuk Ihor Yosypovych
678,Beipiao,CN,58.96,light rain,41.79,120.78,Beipiao Hotel
679,Bundaberg,AU,57.49,few clouds,-24.85,152.35,Takalvan Motel
686,Belokurikha,RU,56.21,broken clouds,52.0,84.99,Neo Hotel
687,Quatre Cocos,MU,71.71,light rain,-20.21,57.76,Sunrise Attitude Hotel
688,Kiama,AU,50.38,broken clouds,-34.68,150.87,The Sebel Kiama Harbourside
689,Plouzane,FR,69.89,broken clouds,48.38,-4.62,Résidence Nemea Iroise Armorique
692,Chimbote,PE,66.31,overcast clouds,-9.09,-78.58,Palace suites hotel events
694,Goedereede,NL,72.0,clear sky,51.82,3.98,Hotel-Pension Ouddorp
695,Khandbari,NP,72.77,overcast clouds,27.37,87.2,Himali Hotel and Lodge
697,Tocopilla,CL,65.79,few clouds,-22.09,-70.2,Hotel Galvarino
702,Oxapampa,PE,67.69,broken clouds,-10.58,-75.4,Hotel Heidinger
708,Nizhnyaya Omka,RU,63.46,overcast clouds,55.43,74.94,"Gostinitsa Om', Zhkkh"
711,Punta De Bombon,PE,62.19,overcast clouds,-17.17,-71.79,Hotel Bedregal
716,Xinpu,CN,68.02,light rain,34.6,119.16,Pattaya Leisure Hotel
717,Kummersbruck,DE,64.62,overcast clouds,49.42,11.89,Hotel Brunner Betriebs GmbH
719,Bulembu,SZ,59.95,broken clouds,-25.97,31.13,Bulembu Lodge
